,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
670,858,"Jed Weintrob directed this look at how Internet sex sites bring people together, while simultaneously keeping them apart. John Roth (Josh Hamilton) and his friend Moe Curley (Harrold Perrineau) spend a remarkable amount of time at Intercon-X, a pornographic website. All of the characters spend a great deal of time in cyberspace. Eventually, John shares a sexual act online with Jordan (Vanessa Ferlito), another regular at Intercon-X. Eventually Jordan and Moe engage in an actual affair, which finally forces all of the characters to deal with each other in the real world, and not just in cyberspace. This film was shot on digital video and was screened at the 2002 Sundance Film Festival.",R,Drama,Jed Weintrob,Jed Weintrob|Andrew Osborne,"Sep 24, 2003","Feb 24, 2004",$,25658,93 minutes,Indican Pictures
675,863,"Brit (Ashley Benson), Candy (Vanessa Hudgens), Cotty (Rachel Korine) and Faith (Selena Gomez) have been best friends since grade school. They live together in a boring college dorm and are hungry for adventure. All they have to do is save enough money for spring break to get their shot at having some real fun. A serendipitous encounter with rapper ""Alien"" (James Franco) promises to provide the girls with all the thrill and excitement they could hope for. With the encouragement of their new friend, it soon becomes unclear how far the girls are willing to go to experience a spring break they will never forget. (c)Official Site",R,Action and Adventure|Art House and International|Comedy|Cult Movies|Drama,Harmony Korine,Harmony Korine,"Mar 22, 2013","Jul 9, 2013",$,13900000,93 minutes,A24 Films
683,873,"A sophisticated and moving comedy, THE EXTRA MAN follows Louis Ives (Paul Dano), a lonely dreamer who fancies himself the hero of an F. Scott Fitzgerald novel... When a deeply embarrassing incident forces him to leave his job at an exclusive Princeton prep school, Louis heads to New York City to make a fresh start. He quickly finds a nine-to-five job at an environmental magazine, where he encounters an entrancing, green-obsessed co-worker Mary (Katie Holmes). But it's Louis' new home life that really sparks his imagination. He rents a room in the ramshackle apartment of Henry Harrison (Kevin Kline), a penniless, wildly eccentric but brilliant playwright. When Henry's not dancing alone to obscure music or singing operettas, he's performing - with great panache - the duties of an ""extra man"", a social escort for the wealthy widows of Manhattan high society. These two men, separated in age by more than forty years, develop a volatile mentor/apprentice relationship. Through a series of urban adventures where they encounter everything from a leaping lion to a wildly jealous hirsute neighbor, from drunken nonagenarians to a shady Swiss hunchback, Louis and Henry form a memorable bond that bridges their differences.-- (C) Magnolia",R,Comedy,Robert Pulcini|Shari Springer Berman,Robert Pulcini|Jonathan Ames|Shari Springer Berman,"Jul 30, 2010","Nov 16, 2010",$,453079,108 minutes,Magnolia Pictures
690,883,"Now that Greg Focker is ""in"" with his soon-to-be in-laws, Jack and Dina Byrnes, it looks like smooth sailing for him and his fianc",PG-13,Comedy,Jay Roach,Jim Herzfeld|John Hamburg,"Dec 22, 2004","Apr 26, 2005",$,279167575,118 minutes,Universal Pictures
691,884,"Freebie (James Caan) and the Bean (Alan Arkin) are a pair of San Francisco cops. Red Meyers (Jack Kruschen) is the mobster whom Freebie and the Bean would like to see behind bars -- or, failing that, six feet under. Nothing stands in the way of the cops' pursuit of Meyers, meaning that private property is given quite a going-over in this picture. The film's most memorable scene finds Freebie and the Bean crashing their car into a poor schnook's living room. TV favorites Loretta Swit and Valerie Harper play the only female roles worth mentioning. The racist and sexist humor in Freebie and the Bean may not go over as well today as it did in the politically incorrect early '70s.",R,Action and Adventure|Comedy|Drama,Richard Rush,Robert Kaufman,"Dec 25, 1974","Jan 11, 2011",$,8300,114 minutes,Warner Bros. Pictures
692,887,"Alfie Elkins is a philosophical womanizer who is forced to question his seemingly carefree existence. Ultimately, his freewheeling lifestyle begins to slowly unravel.",R,Comedy|Drama|Romance,Charles Shyer,Charles Shyer|Elaine Pope,"Nov 5, 2004","Mar 15, 2005",$,13351235,105 minutes,Paramount Pictures
697,895,"After a sexual assault by a random stranger, Samantha contracts what she thinks is an STD... but is in fact something much worse. (c) IFC Midnight",NR,Drama|Horror|Mystery and Suspense,Eric England,Eric England,"Nov 22, 2013","Mar 18, 2014",$,3328,84 minutes,IFC Films
740,952,"Director Cyrus Nowrasteh teams with screenwriter Betsy Giffen Nowrasteh to illuminate the dangers of religious fundamentalism, gender apartheid, and mob rule with this fictionalized adaptation of Freidoune Sahebjam's best-selling novel centering on a true-life tragedy. The story takes place in 1986, just as Khomeini is coming into power in Iran. Undercover French journalist Freidoune Sahebjam (Jim Caviezel) is traveling though a small southwestern village when his car breaks down. Surrounded by strife but left with little choice other to wait until his car is repaired, the anxious Freidoune is soon approached by persistent local Zahra (Shohreh Aghdashloo), who convinces him to follow her into the courtyard behind her home. There, she reveals to him that she has just borne witness to a most heinous crime. Just the previous day, Zahra had watched the men or her town stone an innocent woman to death. That woman was Soraya (Mozhan Marn",R,Drama,Cyrus Nowrasteh,Betsy Giffen Nowrasteh|Cyrus Nowrasteh,"Jun 26, 2009","Mar 9, 2010",$,519730,114 minutes,Roadside Attractions
744,961,"The feature debut of Roman Coppola (son of Oscar-winning director Francis Ford Coppola) centers around an international film crew making a low-budget, Barbarella-like feature in Paris in 1969. The film is called Dragonfly and is being directed by Andrzej (G",R,Comedy|Drama,Roman Coppola,Roman Coppola,"May 24, 2002","Sep 10, 2002",$,301194,91 minutes,United Artists Pictures/MGM
755,973,"One of the most popular and influential video games ever makes its way to the big screen in this sci-fi thriller. A coalition of Earth's scientific and military interests have established a research colony called Olduvai on the planet Mars, but one day all communication from the outpost stops and no one can tell what has happened -- though the final messages suggest it's not good. Believing foul play may have overtaken Olduvai's crew, the Rapid Response Tactical Squad, a team of specially trained military personnel, are deployed to investigate the situation and, if necessary, eliminate the invaders. But Sarge (Dwayne Johnson, aka The Rock) and Reaper (Karl Urban), leaders of the RRTS team, soon discover the situation is far more grim than they could have imagined. An experiment on Olduvai has very literally opened a portal to Hades, and a variety of savage and demonic creatures have overtaken the colony. Now the RRTS must seal off Olduvai, close off any access to Earth, and exterminate the satanic beasts before they can kill again. Doom also stars Rosamund Pike (as Dr. Grimm), Dexter Fletcher, Ben Daniels, and Deobia Oparei.",R,Action and Adventure|Horror|Science Fiction and Fantasy,Andrzej Bartkowiak,Dave Callaham|Wesley Strick,"Oct 21, 2005","Feb 7, 2006",$,28031250,104 minutes,Universal Pictures
758,976,"Model-turned-actress Charlize Theron leaves her glamorous image behind for this gritty drama, in which she plays a disturbed prostitute who becomes a serial killer. Aileen Wuornos (Theron) was a woman who survived a brutal and abusive childhood in Michigan to become a thick-skinned but emotionally damaged adult. Homeless most of her life, Wuornos subsisted by working as a street prostitute; later, when she was in Florida, down to her last five dollars and pondering suicide, she stopped into a bar for a beer. There, Aileen met Selby Wall (Christina Ricci), a woman in her early twenties who had been sent to live with relatives after her Christian parents became aware of her lesbian lifestyle. Selby is immediately attracted to Aileen, and while Aileen tells Selby she's never been in a lesbian relationship, she soon finds herself equally infatuated with her. Selby runs away from her family and moves into a cheap hotel with Aileen, who initially pays the bills by hooking. However, as their money runs low and Aileen finds herself unable to land a regular job, tensions mount between the two. One night, after a john attacks her, Aileen pulls a gun and kills the man. Although her first murder can be categorized as self-defense, Aileen's loathing for the men who pay her for sex becomes so extreme that she begins killing her customers regardless of their behavior. Meanwhile, Selby slowly becomes aware of the full extent of her lover's instability and the bloody consequences of her actions. Monster was inspired by the true story of Aileen Wuornos, whose life and death was chronicled in two documentaries by filmmaker Nick Broomfield, Aileen Wuornos: The Selling of a Serial Killer, and Aileen: The Life and Death of a Serial Killer.",R,Drama,Patty Jenkins,Patty Jenkins,"Jan 9, 2004","Jun 1, 2004",$,34187787,109 minutes,Newmarket Film Group
762,981,"A pair of real-life multi-platinum rap artists star in this genial substance abuse comedy recalling the pro-marijuana work of Cheech and Chong and such films as Half Baked (1998). Silas (Method Man) and Jamal (Redman) are buddies who enjoy smoking voluminous amounts of the illegal plant. They end up in the possession of some magical weed that enhances their brainpower during college entrance exams, thus enabling them to enter that esteemed institution of learning, Harvard University. Once firmly ensconced in the halls of academia, however, the pals run out of their supernatural supply and are forced to get creative in the pursuit of an Ivy League degree. Included in their narcotic-addled plans: smoking the bones of dead president John Quincy Adams. Produced by Danny DeVito's Jersey Films, How High (2001) co-stars Obba Babatunde, Fred Willard, and Hector Elizondo.",R,Comedy,Jesse Dylan,Dustin Lee Abraham,"Dec 21, 2001","May 21, 2002",$,31155435,94 minutes,Universal Pictures
